class,cap-surface,gill-attachment,stalk-shape,stalk-root,veil-type,veil-color,ring-number
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,b,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,r,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
p,s,f,e,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,b,p,w,o
e,s,f,e,c,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,b,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
p,y,f,e,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,e,e,p,w,o
e,s,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,f,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,f,f,e,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
p,y,f,e,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,e,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,e,e,p,w,o
e,f,f,e,e,p,w,o
e,f,f,e,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,r,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,s,f,e,c,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
p,y,f,e,e,p,w,o
p,y,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,t,b,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
p,y,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,y,f,e,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,f,f,t,b,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,y,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,e,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,e,c,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,y,f,t,b,p,w,o
p,s,f,e,e,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,e,c,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,y,f,t,b,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,r,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,y,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,y,f,e,c,p,w,o
e,y,f,e,c,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,c,p,w,o
p,y,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,y,f,e,r,p,w,o
e,s,f,t,e,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
e,s,f,t,e,p,w,o
e,f,f,t,b,p,w,o
e,s,f,t,e,p,w,o
p,s,f,e,e,p,w,o
e,f,f,t,e,p,w,o
